日期,浏览量,浏览量环比,访客数,访客数环比,人均浏览量,人均浏览量环比,平均停留时间,平均停留时间环比,跳失率,跳失率环比,成交客户数,成交客户数环比,成交单量,成交单量环比,成交金额,成交金额环比,客单价,客单价环比,成交商品件数,成交商品件数环比,成交转化率,成交转化率环比,下单客户数,下单客户数环比,下单单量,下单单量环比,下单金额,下单金额环比,下单商品件数,下单商品件数环比,下单转化率,下单转化率环比,下单成交转化率,下单成交转化率环比
2017-04-21,203450,-,45080,-,4.51,-,126.81,-,50.24%,-,3551,-,3678,-,319034.5,-,89.84,-,17288,-,7.88%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-22,209703,-,47619,-,4.4,-,125.0,-,50.11%,-,3647,-,3744,-,326798.2,-,89.61,-,17710,-,7.66%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-23,208817,-,47114,-,4.43,-,121.42,-,50.58%,-,4087,-,4233,-,344348.7,-,84.25,-,18356,-,8.67%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-24,266513,-,73583,-,3.62,-,114.31,-,56.41%,-,5110,-,5269,-,494704.0,-,96.81,-,22884,-,6.94%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-25,279320,-,61918,-,4.51,-,127.03,-,49.85%,-,5435,-,5654,-,469335.5,-,86.35,-,23964,-,8.78%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-26,277422,-,60247,-,4.6,-,124.61,-,49.49%,-,4856,-,5033,-,464259.4,-,95.61,-,22439,-,8.06%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-27,282431,-,61217,-,4.61,-,133.0,-,50.02%,-,4862,-,5060,-,500236.6,-,102.89,-,24211,-,7.94%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-28,226907,-,51098,-,4.44,-,121.62,-,50.51%,-,4102,-,4281,-,443082.5,-,108.02,-,19992,-,8.03%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-29,210324,-,51050,-,4.12,-,112.79,-,52.65%,-,3747,-,3867,-,333546.7,-,89.02,-,17429,-,7.34%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-04-30,222405,-,58291,-,3.82,-,100.75,-,55.38%,-,4271,-,4416,-,364984.2,-,85.46,-,18068,-,7.33%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-01,188843,-,45861,-,4.12,-,107.88,-,52.68%,-,3662,-,3807,-,306717.9,-,83.76,-,15273,-,7.98%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-02,248522,-,73643,-,3.37,-,91.72,-,57.38%,-,4076,-,4216,-,358743.6,-,88.01,-,17623,-,5.53%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-03,279662,-,74376,-,3.76,-,106.45,-,54.39%,-,5751,-,5917,-,550584.54,-,95.74,-,23630,-,7.73%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-04,233443,-,55186,-,4.23,-,118.61,-,50.98%,-,3745,-,3852,-,345752.93,-,92.32,-,17954,-,6.79%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-05,211429,-,49966,-,4.23,-,116.5,-,50.24%,-,3467,-,3564,-,343274.91,-,99.01,-,17062,-,6.94%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-06,203302,-,49360,-,4.12,-,113.36,-,51.48%,-,3179,-,3272,-,298061.51,-,93.76,-,15375,-,6.44%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-07,261961,-,63770,-,4.11,-,124.0,-,51.48%,-,5240,-,5423,-,428190.56,-,81.72,-,24013,-,8.22%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-08,225317,-,49931,-,4.51,-,121.97,-,48.49%,-,3772,-,3889,-,356217.1,-,94.44,-,17870,-,7.55%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-09,207901,-,45048,-,4.62,-,124.4,-,48.20%,-,3497,-,3614,-,358649.02,-,102.56,-,17377,-,7.76%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-10,214898,-,51395,-,4.18,-,117.49,-,51.72%,-,3555,-,3671,-,403343.6,-,113.46,-,17624,-,6.92%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-11,214425,-,52828,-,4.06,-,111.83,-,53.52%,-,3598,-,3757,-,443789.02,-,123.34,-,19759,-,6.81%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-12,418264,-,141154,-,2.96,-,68.16,-,58.54%,-,4138,-,4280,-,513516.33,-,124.1,-,21147,-,2.93%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-13,327087,-,101615,-,3.22,-,87.32,-,58.77%,-,6017,-,6262,-,517498.59,-,86.01,-,21772,-,5.92%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-14,257647,-,72084,-,3.57,-,95.04,-,56.17%,-,4397,-,4538,-,433739.0,-,98.64,-,19846,-,6.10%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-15,341470,-,85862,-,3.98,-,110.38,-,52.88%,-,6575,-,6850,-,579822.6,-,88.19,-,26312,-,7.66%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-16,275417,-,60600,-,4.54,-,125.26,-,48.52%,-,5018,-,5210,-,512665.3,-,102.17,-,22473,-,8.28%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-17,514256,-,148768,-,3.46,-,95.98,-,57.12%,-,10080,-,10472,-,1018897.2,-,101.08,-,39327,-,6.78%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-18,259965,-,61699,-,4.21,-,115.14,-,50.37%,-,5240,-,5469,-,529336.9,-,101.02,-,21861,-,8.49%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
2017-05-19,275341,-,73892,-,3.73,-,103.08,-,54.56%,-,4779,-,4954,-,540041.2,-,113.0,-,21159,-,6.47%,-,0,-,0,-,0.0,-,0,-,0.00%,-,0.00%,-
